# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
1.26432552,488.2310,6.0240772298e-01,3.4843691618e-01
1.27112511,490.8567,6.0476505656e-01,3.4493080246e-01
1.27792471,493.4825,6.0709840365e-01,3.4138168383e-01
1.28472430,496.1082,6.0940747264e-01,3.3778979398e-01
1.29152389,498.7339,6.1169197353e-01,3.3415538507e-01
1.29832349,501.3597,6.1395161812e-01,3.3047872778e-01
1.30512308,503.9854,6.1618612012e-01,3.2676011137e-01
1.31192267,506.6111,6.1839519526e-01,3.2299984377e-01
1.31872227,509.2368,6.2057856142e-01,3.1919825162e-01
1.32552186,511.8626,6.2273593878e-01,3.1535568028e-01
1.33232145,514.4883,6.2486704992e-01,3.1147249395e-01
1.33912104,517.1140,6.2697161998e-01,3.0754907562e-01
1.34592064,519.7397,6.2904937674e-01,3.0358582708e-01
1.35272023,522.3655,6.3110005079e-01,2.9958316888e-01
1.35951982,524.9912,6.3312337565e-01,2.9554154034e-01
1.36631942,527.6169,6.3511908788e-01,2.9146139953e-01
1.37311901,530.2426,6.3708692723e-01,2.8734322318e-01
1.37991860,532.8684,6.3902663674e-01,2.8318750661e-01
1.38671820,535.4941,6.4093796289e-01,2.7899476364e-01
1.39351779,538.1198,6.4282065572e-01,2.7476552651e-01
1.40031738,540.7455,6.4467446893e-01,2.7050034578e-01
1.40711697,543.3713,6.4649916006e-01,2.6619979018e-01
1.41391657,545.9970,6.4829449055e-01,2.6186444646e-01
1.42071616,548.6227,6.5006022590e-01,2.5749491924e-01
1.42751575,551.2484,6.5179613579e-01,2.5309183083e-01
1.43431535,553.8742,6.5350199417e-01,2.4865582107e-01
1.44111494,556.4999,6.5517757942e-01,2.4418754710e-01
1.44791453,559.1256,6.5682267445e-01,2.3968768316e-01
1.45471413,561.7513,6.5843706679e-01,2.3515692033e-01
1.46151372,564.3771,6.6002054873e-01,2.3059596628e-01
1.46831331,567.0028,6.6157291743e-01,2.2600554504e-01
1.47511290,569.6285,6.6309397506e-01,2.2138639674e-01
1.48191250,572.2542,6.6458352883e-01,2.1673927726e-01
1.48871209,574.8800,6.6604139116e-01,2.1206495794e-01
1.49551168,577.5057,6.6746737978e-01,2.0736422526e-01
1.50231128,580.1314,6.6886131778e-01,2.0263788054e-01
1.50911087,582.7572,6.7022303380e-01,1.9788673959e-01
1.51591046,585.3829,6.7155236205e-01,1.9311163227e-01
1.52271006,588.0086,6.7284914241e-01,1.8831340222e-01
1.52950965,590.6343,6.7411322057e-01,1.8349290638e-01
1.53630924,593.2601,6.7534444808e-01,1.7865101467e-01
1.54310883,595.8858,6.7654268246e-01,1.7378860953e-01
1.54990843,598.5115,6.7770778724e-01,1.6890658549e-01
1.55670802,601.1372,6.7883963212e-01,1.6400584879e-01
1.56350761,603.7630,6.7993809296e-01,1.5908731686e-01
1.57030721,606.3887,6.8100305191e-01,1.5415191789e-01
1.57710680,609.0144,6.8203439746e-01,1.4920059040e-01
1.58390639,611.6401,6.8303202454e-01,1.4423428268e-01
1.59070599,614.2659,6.8399583452e-01,1.3925395239e-01
